imdbID,Title,Year,Genre,Metascore,imdbRating,studio_type
tt9218128,Gladiator II,2024,"Action, Adventure, Drama",64,6.4,major
tt3861390,Dumbo,2019,"Animation, Adventure, Family",51,6.2,major
tt2222042,Love and Monsters,2020,"Action, Adventure, Comedy",63,6.9,major
tt2709692,The Grinch,2018,"Animation, Comedy, Family",51,6.4,major
tt6166392,Wonka,2023,"Adventure, Comedy, Family",66,6.9,major
tt1390411,In the Heart of the Sea,2015,"Action, Adventure, Biography",47,6.9,major
tt2080374,Steve Jobs,2015,"Biography, Drama",82,7.2,major
tt6133466,The First Purge,2018,"Action, Horror, Sci-Fi",54,5.2,major
tt3554046,Space Jam: A New Legacy,2021,"Animation, Adventure, Comedy",36,4.5,major
tt1398426,Straight Outta Compton,2015,"Biography, Drama, History",72,7.8,major
tt15474916,Smile,2022,"Horror, Mystery, Thriller",68,6.5,major
tt1389072,Downsizing,2017,"Drama, Fantasy, Sci-Fi",64,5.8,major
tt5113044,Minions: The Rise of Gru,2022,"Animation, Adventure, Comedy",56,6.5,major
tt9224104,Meg 2: The Trench,2023,"Action, Adventure, Horror",40,5.0,major
tt0475290,"Hail, Caesar!",2016,"Comedy, Drama, Mystery",72,6.3,major
tt4172430,13 Hours,2016,"Action, Drama, History",48,7.3,major
tt3104988,Crazy Rich Asians,2018,"Comedy, Drama, Romance",74,6.9,major
tt11245972,Scream,2022,"Horror, Mystery, Thriller",60,6.3,major
tt3704428,Elvis,2022,"Biography, Drama, Music",64,7.3,major
tt6673612,Dolittle,2020,"Adventure, Comedy, Family",26,5.6,major
tt1684562,The Fall Guy,2024,"Action, Comedy, Drama",73,6.8,major
tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"Action, Adventure, Comedy",40,5.9,major
tt10640346,Babylon,2022,"Comedy, Drama",61,7.1,major
tt5001718,"Everything, Everything",2017,"Drama, Romance",52,6.3,major
tt8244784,The Hunt,2020,"Action, Horror, Thriller",50,6.6,major
tt8155288,Happy Death Day 2U,2019,"Comedy, Horror, Mystery",57,6.2,major
tt3691740,The BFG,2016,"Adventure, Family, Fantasy",66,6.3,major
tt2548396,The Cloverfield Paradox,2018,"Horror, Sci-Fi, Thriller",37,5.5,major
tt9663764,Aquaman and the Lost Kingdom,2023,"Action, Adventure, Fantasy",42,5.6,major
tt4799066,Midnight Sun,2018,"Drama, Romance",38,6.6,major
tt5028340,Mary Poppins Returns,2018,"Adventure, Comedy, Family",66,6.7,major
tt1528854,Daddy's Home,2015,"Comedy, Family",42,6.2,major
tt0837563,Pet Sematary,2019,"Horror, Mystery, Thriller",57,5.7,major
